"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1785248710.178	"2026-07-28 09:25:10.178 UTC-05:00"
"PAUSE"	5.251896587E1	1785248762.697	"2026-07-28 09:26:02.697 UTC-05:00"
